circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,81,81.0,31098.0,439.45
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET MAIN ROAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,61.0,7.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,296.0,7.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S R NAGAR NORTH EWS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,7.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,170,163.0,85957.0,573.52
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,TRAFIC SIGNALS&CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,49.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,ALLAMTHOTA BAI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,24.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,B.PET RAILWAY STATION,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1230.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,187.0,27.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. C. GARDEN & B.WADI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,225.0,12.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,N.B.T. NAGAR P. GADDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,27.0,3.75
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,143,142.0,56597.0,521.02
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,TRAFIC SIGNALS & CAMERAS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,479.0,9.75
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,181,181.0,52452.0,388.93
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,161,161.0,50072.0,216.4
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,16026.0,50.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV SANATHNAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1334.0,3.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,I.E.SANATH NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,,0.0,2.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,138,138.0,58262.0,443.29
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,180,180.0,62998.0,678.16
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,3096.0,16.25
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,262,259.0,68509.0,965.35
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,175,175.0,46882.0,507.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GHMC SERVICES,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,5658.0,24.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,144,144.0,49953.0,475.1
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,206,206.0,53461.0,594.53
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,ERRAGADDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,150,150.0,38411.0,318.04
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STREET LIGHTS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,137,130.0,45292.0,495.87
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,STREET LIGHT,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,116,113.0,51971.0,608.09
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHAMATH NAGAR MAZIDH GALLI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,56.0,2.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHILKUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,35,35.0,833.0,85.2
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINA SHAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,4.0,11.75
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINNAMANGANGALARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,5860.0,31.45
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,ELKA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,4357.0,10.88
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,HIMAYATH NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,23.0,25010.0,59.2
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,MEDIPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,3734.0,31.6
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,MOTHKAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,549.0,4.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,PADDA MANGALARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,19.0,13300.0,52.93
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,PEDDAMANGALARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,1597.0,30.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,QUTUBUDDIN GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1543.0,12.25
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,REDDY PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,1788.0,19.35
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,VEERANNAPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,788.0,7.45
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,AMDA POOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,674.0,40.1
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,AZIZ NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,30,30.0,11517.0,127.3
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,BAKARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,827.0,47.4
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,CHAKLI GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,349.0,6.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,ETHBAR PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,0.0,6.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,ETHBARPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,349.0,8.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KANCHIMAN GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,147.0,5.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KANKAMAMIDI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,789.0,46.1
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KASAMBOWLI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,7.0,7.15
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KASIM BOWLI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,818.0,2.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KETHI REDDY PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,473.0,19.8
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MOINABAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,37,34.0,10433.0,95.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MURTHUZA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,3.0,18.6
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MURTUZA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,888.0,8.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAGI REDDY GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,2554.0,28.35
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAKKALAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,424.0,18.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAKKALPELLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,177.0,2.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAZEEB NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,87.0,14.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,OLD MOINABAD,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,1931.0,8.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SAJJAN PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1.0,3.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SREE RAM NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,138.0,10.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SREERAM NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,2.0,7.15
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SURANGAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,33,23.0,723.0,81.05
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,THOLKATTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,3742.0,28.28
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,VENKATA PUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,4.0,16.15
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,VENKATAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,313.0,4.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,YENKA PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,7023.0,32.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,YENKAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,9.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,DONTHAN PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,13.0,14828.0,25.3
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,GOPULRAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,17,17.0,4471.0,30.1
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,JANWADA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,17,17.0,8505.0,97.03
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,KHANAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,35,35.0,34244.0,97.58
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MAHARAJ PET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,1456.0,26.55
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MIRZAGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,55,55.0,17727.0,117.1
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MIYAKHAN GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,512.0,7.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,MOKILA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,48,48.0,21985.0,106.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,PILLIGUNDLA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,1810.0,18.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,PODDATUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,27,27.0,6660.0,75.55
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,TANGATOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,21.0,9564.0,66.35
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,YEL VARTHI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,23.0,2781.0,46.45
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,PUPPALGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,41,41.0,27077.0,149.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,PUPPALGUDA-CT,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,23800.0,140.75
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,ALAM KHAN GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,3739.0,23.0
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,ANTAPPA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,2195.0,29.45
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,BULKAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,20,20.0,8791.0,81.8
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,CHANDIPPA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,4920.0,31.7
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,SECRETARIAT COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,668.0,3.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,ALIZAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,397.0,3.3
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,GANDIPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,34,34.0,14292.0,108.88
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,FATHEPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,5272.0,40.9
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,GAJULA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,18,18.0,2297.0,31.75
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,KACHIREDDYGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,66.0,3.7
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,KONDAKAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,30,30.0,18804.0,69.2
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,KOTHA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,218.0,7.45
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,LACHI REDDY GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,1437.0,5.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,IBRAHIMBAGH,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,30,30.0,15416.0,166.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,KOKAPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,70,70.0,37385.0,234.63
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,KOKAPET - I,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,1044.0,5.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,MANCHIREVULA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,50,50.0,19907.0,139.7
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,LAXMA REDDY GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1665.0,30.13
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,MAHALINGAPURAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,57,40.0,7033.0,70.3
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,MASANI GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1097.0,25.15
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,OLD SHANKER PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,3096.0,19.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,NARSINGI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,70,70.0,27391.0,280.54
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,NECKNAMPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,32,32.0,5606.0,70.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,NEKNAM POOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,43.0,3.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,OSMAN SAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,521.0,7.05
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,PARVEDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,29,29.0,8660.0,65.58
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,RAMANTHAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1454.0,28.95
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,RAVULA PALLY KALAN,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,16,16.0,6134.0,36.2
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,SANKEPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,12505.0,33.28
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,SERI GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,4239.0,32.75
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,RAMDEV GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,503.0,11.25
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,RAMDEVGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,20,16.0,11993.0,143.25
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,VATTI NAGULA PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,2.25
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,VATTINAGULAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,43,43.0,50012.0,134.58
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,SHANKAR PALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,79,79.0,33157.0,187.55
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,SINGPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,32,32.0,17302.0,88.23
CYBERCITY,IBRAHIMBAGH,MOKILA,SHANKAR PALLY,YERWA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,1891.0,20.75
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,AMEERGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,4.0,2.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,APPA REDDY GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,8.0,12.75
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,APPOJIGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,58.0,10.1
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHANDA NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,487.0,10.63
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHANDER NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,356.0,6.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MEERAPOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,94.0,3.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUDDAM GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,9093.0,19.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUKTAGUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,3.0,812.0,15.7
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NADAR KHAN PET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,1155.0,14.98
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGAR KUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,1001.0,13.63
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGARAO GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,12.0,4599.0,35.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAREDLA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,4.0,320.0,8.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PATEL GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,527.0,5.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PEDDA SOLIPET,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,1344.0,13.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PEDDA VEEDU,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,7,7.0,1313.0,19.38
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,POLLARAM,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,4.0,1050.0,24.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,POTHUGAL,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,12.0,2207.0,26.3
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,REGADI DOSAWADA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,8.0,402.0,28.13
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ALLAWADA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,5.0,1319.0,30.65
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ALOOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,21.0,10604.0,48.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TALLAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,13.0,6221.0,30.73
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TIMMA REDDY GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,946.0,13.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,TIRMALA POOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,5.0,1675.0,20.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,UBAGUNTA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,100.0,2.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,VENKAMMA GUDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,3917.0,14.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,YENKAMMA GUDAA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,1.0,0.0,7.63
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,ANTHA RAM (A),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,12.0,23475.0,34.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,BESTEPOR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,320.0,7.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHENEVELLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,6,6.0,753.0,15.45
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHEVELLA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,93,58.0,19071.0,245.43
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,CHINNARAVULAPALLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,8.0,2702.0,31.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,D ERRAVELLY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,5.0,656.0,23.15
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,ALKAPUR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,24,24.0,1755.0,48.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,GP MANIKONDA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,48,48.0,34683.0,207.35
